,concat_column,Акция,Сектор,Период,Выплата на акцию (прогноз),Размер дивиденда рекомендован советом директоров,Валюта,Доходность выплаты,Цена расчета доходности,Дата закрытия реестра (оценка),Дата закрытия реестра рекомендована советом директоров,"Капитализация, млн.",DSI,Прогноз прибыли в след. 12m,Доля от прибыли,"Кол-во акций в обращении, млн. шт.",Стабильность выплат,Стабильность роста,Комментарий/Див. политика
0,En Plus 9 месяцев 2021,En Plus,Металлы и добыча,9 месяцев 2021,0.0,No,RUB,0%,795.0,10.11.2021,No,6985.46,0.0,120951.39,0.0,638.85,0,0,"Дивидендная политика En Plus предусматривает выплату акционерам 100% полученных дивидендов от UC Rusal и 75% (но не менее $250 млн в год) от свободного денежного потока, сгенерированного компаниями энергетического сегмента En Plus. Совет директоров группы может рекомендовать выплату дивидендов даже в отсутствие выплат от РУСАЛа. По итогам 2018 года от выплат отказались из-за санкций США. По итогам 2019 года выплат не ожидаем из-за влияния пандемии на финансовые результаты компании."
1,En Plus всего 12м,En Plus,Металлы и добыча,всего 12м,0.0,No,RUB,0%,795.0,Nan,No,6985.46,0.0,58391.0,0.0,638.85,0,0,"Дивидендная политика En Plus предусматривает выплату акционерам 100% полученных дивидендов от UC Rusal и 75% (но не менее $250 млн в год) от свободного денежного потока, сгенерированного компаниями энергетического сегмента En Plus. Совет директоров группы может рекомендовать выплату дивидендов даже в отсутствие выплат от РУСАЛа. По итогам 2018 года от выплат отказались из-за санкций США. По итогам 2019 года выплат не ожидаем из-за влияния пандемии на финансовые результаты компании."
2,En Plus годовые 2021,En Plus,Металлы и добыча,годовые 2021,0.0,No,RUB,0%,795.0,05.05.2022,No,6985.46,0.0,161268.52,0.0,638.85,0,0,"Дивидендная политика En Plus предусматривает выплату акционерам 100% полученных дивидендов от UC Rusal и 75% (но не менее $250 млн в год) от свободного денежного потока, сгенерированного компаниями энергетического сегмента En Plus. Совет директоров группы может рекомендовать выплату дивидендов даже в отсутствие выплат от РУСАЛа. По итогам 2018 года от выплат отказались из-за санкций США. По итогам 2019 года выплат не ожидаем из-за влияния пандемии на финансовые результаты компании."
3,Fix Price I полугодие 2021,Fix Price,Розничная торговля,I полугодие 2021,6.59,No,RUB,1.02%,649.0,11.09.2021,No,7556.5,0.0,11200.0,50.0,850.0,0,0,Fix Price планирует платить дивиденды дважды в год. Целевой коэффициент дивидендных выплат составляет минимум 50% чистой прибыли по МСФО.
4,Fix Price II полугодие 2021,Fix Price,Розничная торговля,II полугодие 2021,6.59,No,RUB,1.02%,649.0,11.03.2022,No,7556.5,0.0,11200.0,50.0,850.0,0,0,Fix Price планирует платить дивиденды дважды в год. Целевой коэффициент дивидендных выплат составляет минимум 50% чистой прибыли по МСФО.
5,Fix Price всего 12м,Fix Price,Розничная торговля,всего 12м,13.18,No,RUB,2.03%,649.0,Nan,No,7556.5,0.0,22400.0,50.0,850.0,0,0,Fix Price планирует платить дивиденды дважды в год. Целевой коэффициент дивидендных выплат составляет минимум 50% чистой прибыли по МСФО.
6,GTL годовые 2021,GTL,Строительство,годовые 2021,0.0,No,RUB,0%,0.06,01.04.2022,No,2.08,0.07,2.0,0.0,2596.0,0.14,0,"GTL очень непрозрачная компания, поэтому здесь сложно сформировать адекватные ожидания по дивидендам. Иногда платят, но как именно, не понятно."
7,Globaltrans I полугодие 2021,Globaltrans,Логистика,I полугодие 2021,16.66,No,RUB,3.28%,508.2,01.09.2021,No,1247.07,0.36,4455.0,66.82,178.66,0.71,0,"Дивидендная политика Глобалтранса привязана к свободному денежному потоку и долговой нагрузке: при коэффициенте Чистый долг/EBITDA скорр.< 1.0х на выплату дивидендов направляется не менее 50% свободного денежного потока, при коэффициенте от 1.0х до 2.0х - не менее 30%, при коэффициенте > 2.0x - 0%."
8,Globaltrans II полугодие 2021,Globaltrans,Логистика,II полугодие 2021,16.66,No,RUB,3.28%,508.2,29.04.2022,No,1247.07,0.36,3889.39,76.54,178.66,0.71,0,"Дивидендная политика Глобалтранса привязана к свободному денежному потоку и долговой нагрузке: при коэффициенте Чистый долг/EBITDA скорр.< 1.0х на выплату дивидендов направляется не менее 50% свободного денежного потока, при коэффициенте от 1.0х до 2.0х - не менее 30%, при коэффициенте > 2.0x - 0%."
9,Globaltrans всего 12м,Globaltrans,Логистика,всего 12м,33.33,No,RUB,6.56%,508.2,Nan,No,1247.07,0.36,8344.39,71.35,178.66,0.71,0,"Дивидендная политика Глобалтранса привязана к свободному денежному потоку и долговой нагрузке: при коэффициенте Чистый долг/EBITDA скорр.< 1.0х на выплату дивидендов направляется не менее 50% свободного денежного потока, при коэффициенте от 1.0х до 2.0х - не менее 30%, при коэффициенте > 2.0x - 0%."
